total_cup_points,country_of_origin,altitude_mean_meters,latitude,longitude,country_cup_points_avg,avg_altitude_per_country,quality_category,country_entry_counts
77.92,Costa Rica,1200.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
77.92,Mexico,1248.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
77.83,Nicaragua,1000.0,13.0,-85.0,80.01,1091.9117647058824,Medium Quality,17
77.83,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
77.67,Taiwan,775.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
77.5,Mexico,1300.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
77.42,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
77.33,Brazil,890.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
77.33,Guatemala,1219.2,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
77.33,Mexico,1500.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
77.25,Haiti,825.0,19.0,-72.42,77.17999999999999,883.36,Low Quality,6
77.17,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
77.0,Peru,1200.0,-10.0,-76.0,78.0,1300.0,Low Quality,2
76.75,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
76.42,Mexico,1100.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
76.33,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
76.17,Mexico,1400.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
76.08,Mexico,1250.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
76.0,Honduras,1350.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
75.83,Philippines,1000.0,13.0,122.0,80.834,1280.0,Medium Quality,5
75.58,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
75.5,Mexico,1100.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
75.17,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
75.17,Mexico,1100.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
75.17,Mexico,1280.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
75.0,Mexico,850.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
74.92,Mexico,1500.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
74.83,Mexico,1250.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
74.67,Mexico,1700.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
74.33,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
74.33,Mexico,1140.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
74.0,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
73.83,Mexico,1250.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
73.42,Honduras,1350.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
72.92,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
72.33,Haiti,1020.0,19.0,-72.42,77.17999999999999,883.36,Low Quality,6
71.75,Costa Rica,1200.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
71.08,Mexico,800.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
71.0,Mexico,1800.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
70.75,Mexico,1000.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
69.33,Honduras,1450.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
69.17,Honduras,1450.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
69.17,Honduras,1450.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
68.33,Mexico,900.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
67.92,Haiti,350.0,19.0,-72.42,77.17999999999999,883.36,Low Quality,6
63.08,Nicaragua,1100.0,13.0,-85.0,80.01,1091.9117647058824,Medium Quality,17
59.83,Guatemala,1417.32,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
83.75,Uganda,1488.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
83.5,India,3170.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
83.25,India,1000.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
83.0,Uganda,1212.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
83.0,Uganda,1250.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
82.75,India,3000.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
82.58,India,750.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
82.5,India,3140.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
82.5,India,1000.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
82.42,Uganda,1100.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
81.75,Uganda,1095.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
81.58,India,1000.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
81.58,India,750.0,20.0,77.0,81.9375,1421.6666666666667,Medium Quality,12
