total_cup_points,country_of_origin,altitude_mean_meters,latitude,longitude,country_cup_points_avg,avg_altitude_per_country,quality_category,country_entry_counts
84.25,Taiwan,1000.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
84.25,Thailand,1200.0,15.0,100.0,82.42999999999999,1094.99208,Medium Quality,20
84.25,Colombia,2560.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.25,Guatemala,1500.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.25,Guatemala,1099.4136,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.25,China,1400.0,35.0,105.0,82.9275,1463.125,Medium Quality,16
84.25,Colombia,1775.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.25,Colombia,1775.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.25,Colombia,1800.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.25,Colombia,442.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.25,"Tanzania, United Republic of",1620.0,-6.0,35.0,82.30945945945946,1562.7297297297298,Medium Quality,37
84.25,"Tanzania, United Republic of",1600.0,-6.0,35.0,82.30945945945946,1562.7297297297298,Medium Quality,37
84.25,Guatemala,1219.2,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.25,Colombia,1700.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.25,Mexico,1450.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.25,Mexico,1170.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.25,Mexico,1400.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.25,Uganda,1700.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
84.17,Guatemala,1700.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.17,Costa Rica,1700.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.17,Guatemala,1116.7872,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.17,Guatemala,1565.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.17,Guatemala,3280.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.17,Colombia,1775.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.17,Nicaragua,1000.0,13.0,-85.0,80.01,1091.9117647058824,Medium Quality,17
84.17,Brazil,1150.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.17,Costa Rica,1850.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
